run_name,env_name,context,train_win_rate,train_ep_rew_mean,train_death_saw_pct,train_death_enemy_pct,train_death_lava_pct,train_death_timeout_pct,train_death_unknown_pct,test_win_rate_1,test_win_rate_2,test_win_rate_3,test_win_rate_mean,test_ep_rew_mean_1,test_ep_rew_mean_2,test_ep_rew_mean_3,test_ep_rew_mean,test_death_saw_pct,test_death_enemy_pct,test_death_lava_pct,test_death_timeout_pct,test_death_unknown_pct,generalization_gap
CnnPolicy_50M_coinrun_8192_4_levels500_seed2026_v0,coinrun,"[{""visibility"":9,""allow_monsters"":true},{""visibility"":11,""allow_monsters"":true},{""visibility"":13,""allow_monsters"":true},{""visibility"":15,""allow_monsters"":true},{""visibility"":17,""allow_monsters"":true}]",71.9476,8.3000,63.4536,28.9731,7.5606,0.0127,0.0000,64.3700,65.2400,64.1800,64.5967,6.4370,6.5240,6.4180,6.4597,67.0935,27.4268,5.4797,0.0000,0.0000,7.3509
CnnPolicy_50M_coinrun_8192_4_levels500_seed42_v0,coinrun,"[{""visibility"":9,""allow_monsters"":true},{""visibility"":11,""allow_monsters"":true},{""visibility"":13,""allow_monsters"":true},{""visibility"":15,""allow_monsters"":true},{""visibility"":17,""allow_monsters"":true}]",69.3791,7.2000,64.6722,27.9795,7.3075,0.0408,0.0000,63.6700,63.2900,63.6000,63.5200,6.3670,6.3290,6.3600,6.3520,67.4251,27.0651,5.5099,0.0000,0.0000,5.8591
CnnPolicy_50M_coinrun_8192_4_levels500_seed749251_v0,coinrun,"[{""visibility"":9,""allow_monsters"":true},{""visibility"":11,""allow_monsters"":true},{""visibility"":13,""allow_monsters"":true},{""visibility"":15,""allow_monsters"":true},{""visibility"":17,""allow_monsters"":true}]",72.5679,8.3000,66.1477,27.0391,6.8092,0.0040,0.0000,63.9900,64.7000,64.7900,64.4933,6.3990,6.4700,6.4790,6.4493,67.6493,27.2437,5.1070,0.0000,0.0000,8.0746
CnnPolicy_50M_coinrun_8192_4_levels500_seed2026_v0,coinrun,"[{""visibility"":11,""allow_monsters"":true}]",79.7959,9.3000,61.6597,31.3088,7.0071,0.0244,0.0000,64.6400,64.9700,64.6900,64.7667,6.4640,6.4970,6.4690,6.4767,66.3009,28.9309,4.7682,0.0000,0.0000,15.0293
CnnPolicy_50M_coinrun_8192_4_levels500_seed42_v1,coinrun,"[{""visibility"":11,""allow_monsters"":true}]",80.0449,9.3000,61.4391,30.8555,7.6374,0.0680,0.0000,64.4100,64.3300,64.9500,64.5633,6.4410,6.4330,6.4950,6.4563,66.9081,28.2288,4.8631,0.0000,0.0000,15.4816
CnnPolicy_50M_coinrun_8192_4_levels500_seed749251_v0,coinrun,"[{""visibility"":11,""allow_monsters"":true}]",81.1441,9.5000,61.9021,30.6316,7.4531,0.0132,0.0000,63.2400,63.3100,63.8200,63.4567,6.3240,6.3310,6.3820,6.3457,67.8555,26.9908,5.1537,0.0000,0.0000,17.6874
CnnPolicy_50M_coinrun_8192_4_levels500_seed2026_v0,coinrun,"[{""visibility"":13,""allow_monsters"":true}]",80.3349,9.4000,63.3590,29.6992,6.7806,0.1611,0.0000,63.6700,63.6600,63.5300,63.6200,6.3670,6.3660,6.3530,6.3620,67.2806,27.4876,5.2318,0.0000,0.0000,16.7149
CnnPolicy_50M_coinrun_8192_4_levels500_seed42_v0,coinrun,"[{""visibility"":13,""allow_monsters"":true}]",80.7567,9.3000,61.5024,31.4487,7.0324,0.0166,0.0000,64.4900,64.2900,65.4800,64.7533,6.4490,6.4290,6.5480,6.4753,65.4435,29.3361,4.9177,0.3026,0.0000,16.0034
CnnPolicy_50M_coinrun_8192_4_levels500_seed749251_v0,coinrun,"[{""visibility"":13,""allow_monsters"":true}]",80.9668,9.3000,63.7674,29.1422,6.8308,0.2596,0.0000,63.4800,64.1500,64.9300,64.1867,6.3480,6.4150,6.4930,6.4187,67.6191,27.5223,4.8585,0.0000,0.0000,16.7801
CnnPolicy_50M_coinrun_8192_4_levels500_seed2026_v2,coinrun,"[{""visibility"":15,""allow_monsters"":true}]",81.8381,9.5000,63.5793,29.0080,7.4058,0.0069,0.0000,62.6300,63.3500,63.2100,63.0633,6.2630,6.3350,6.3210,6.3063,66.6998,28.1744,5.1259,0.0000,0.0000,18.7748
CnnPolicy_50M_coinrun_8192_4_levels500_seed42_v2,coinrun,"[{""visibility"":15,""allow_monsters"":true}]",80.6963,9.1000,62.9871,29.5908,7.3861,0.0360,0.0000,63.2500,63.0400,63.4900,63.2600,6.3250,6.3040,6.3490,6.3260,66.5124,29.2415,4.2461,0.0000,0.0000,17.4363
CnnPolicy_50M_coinrun_8192_4_levels500_seed749251_v0,coinrun,"[{""visibility"":15,""allow_monsters"":true}]",82.1583,9.3000,61.3791,30.8258,7.7500,0.0450,0.0000,64.1200,64.9300,64.6600,64.5700,6.4120,6.4930,6.4660,6.4570,66.7607,28.4599,4.7794,0.0000,0.0000,17.5883
CnnPolicy_50M_coinrun_8192_4_levels500_seed2026_v0,coinrun,"[{""visibility"":17,""allow_monsters"":true}]",80.9035,9.4000,63.6916,29.3442,6.9518,0.0124,0.0000,62.7400,63.0600,63.5400,63.1133,6.2740,6.3060,6.3540,6.3113,66.8263,28.6915,4.4822,0.0000,0.0000,17.7901
CnnPolicy_50M_coinrun_8192_4_levels500_seed42_v0,coinrun,"[{""visibility"":17,""allow_monsters"":true}]",81.4104,9.4000,62.1567,31.3475,6.4667,0.0291,0.0000,63.3600,63.7200,64.3900,63.8233,6.3360,6.3720,6.4390,6.3823,66.1476,29.0795,4.7729,0.0000,0.0000,17.5871
CnnPolicy_50M_coinrun_8192_4_levels500_seed749251_v0,coinrun,"[{""visibility"":17,""allow_monsters"":true}]",82.4749,9.4000,62.2732,30.4242,7.1260,0.1765,0.0000,63.2300,63.3100,64.0800,63.5400,6.3230,6.3310,6.4080,6.3540,66.2644,28.9998,4.4981,0.2377,0.0000,18.9349
CnnPolicy_50M_coinrun_8192_4_levels500_seed2026_v2,coinrun,"[{""visibility"":9,""allow_monsters"":true}]",78.8879,8.6000,59.9803,31.2486,8.7361,0.0350,0.0000,64.8600,64.9100,65.1700,64.9800,6.4860,6.4910,6.5170,6.4980,65.5054,29.1357,5.3588,0.0000,0.0000,13.9079
CnnPolicy_50M_coinrun_8192_4_levels500_seed42_v2,coinrun,"[{""visibility"":9,""allow_monsters"":true}]",77.8404,8.3000,61.8455,30.3732,7.7324,0.0489,0.0000,65.2200,64.9000,64.8400,64.9867,6.5220,6.4900,6.4840,6.4987,65.4893,28.5891,5.4360,0.4855,0.0000,12.8537
CnnPolicy_50M_coinrun_8192_4_levels500_seed749251_v2,coinrun,"[{""visibility"":9,""allow_monsters"":true}]",76.1062,9.1000,61.3562,31.6272,6.9900,0.0266,0.0000,65.1600,65.1200,65.1600,65.1467,6.5160,6.5120,6.5160,6.5147,66.3256,28.9212,4.7533,0.0000,0.0000,10.9595
